Start_Time,Start_Temp,End_Time,End_Temp,Time (s),T_min (C),T_max (C),T_ave (C)
0.0,180.0,14400.0,280.0,153.91,180.0,181.03,180.09
,,,,293.91,180.0,181.98,180.23
,,,,433.91,180.0,182.94,180.4
,,,,583.91,180.0,183.97,180.62
,,,,723.91,180.01,184.93,180.84
,,,,873.91,180.02,185.97,181.09
,,,,1013.9,180.04,186.93,181.35
,,,,1153.9,180.07,187.89,181.62
,,,,1303.9,180.11,188.92,181.92
,,,,1443.9,180.16,189.89,182.22
,,,,1593.9,180.24,190.92,182.55
,,,,1733.9,180.32,191.88,182.88
,,,,1873.9,180.41,192.85,183.22
,,,,2023.9,180.52,193.88,183.59
,,,,2163.9,180.65,194.85,183.95
,,,,2313.9,180.79,195.88,184.35
,,,,2453.9,180.94,196.85,184.73
,,,,2593.9,181.11,197.81,185.12
,,,,2743.9,181.3,198.84,185.55
,,,,2883.9,181.49,199.81,185.96
,,,,3033.9,181.71,200.84,186.42
,,,,3173.9,181.93,201.81,186.85
,,,,3313.9,182.16,202.78,187.29
,,,,3463.9,182.43,203.81,187.77
,,,,3603.9,182.68,204.78,188.23
,,,,3753.9,182.97,205.81,188.74
,,,,3893.9,183.26,206.78,189.21
,,,,4033.9,183.55,207.74,189.7
,,,,4183.9,183.88,208.78,190.23
,,,,4323.9,184.2,209.75,190.73
,,,,4473.9,184.55,210.78,191.28
,,,,4613.9,184.89,211.75,191.8
,,,,4753.9,185.24,212.71,192.33
,,,,4903.9,185.63,213.75,192.91
,,,,5043.9,186.01,214.72,193.45
,,,,5193.9,186.42,215.75,194.04
,,,,5333.9,186.81,216.72,194.6
,,,,5473.9,187.22,217.69,195.16
,,,,5623.9,187.66,218.72,195.78
,,,,5763.9,188.09,219.69,196.36
,,,,5913.9,188.55,220.73,196.98
,,,,6053.9,188.99,221.7,197.58
,,,,6193.9,189.45,222.66,198.18
,,,,6343.9,189.94,223.7,198.83
,,,,6483.9,190.41,224.67,199.44
,,,,6633.9,190.92,225.71,200.08
,,,,6773.9,191.4,226.68,200.69
,,,,6913.9,191.88,227.65,201.3
,,,,7063.9,192.41,228.68,201.96
,,,,7203.9,192.91,229.65,202.58
,,,,7353.9,193.45,230.69,203.26
,,,,7493.9,193.97,231.66,203.9
,,,,7633.9,194.49,232.63,204.54
,,,,7783.9,195.05,233.66,205.24
,,,,7923.9,195.58,234.63,205.9
,,,,8073.9,196.16,235.67,206.6
,,,,8213.9,196.71,236.64,207.27
,,,,8353.9,197.27,237.61,207.94
,,,,8503.9,197.87,238.64,208.67
,,,,8643.9,198.44,239.61,209.35
,,,,8793.9,199.06,240.65,210.09
,,,,8933.9,199.64,241.62,210.78
,,,,9073.9,200.23,242.59,211.48
,,,,9223.9,200.87,243.63,212.23
,,,,9363.9,201.47,244.6,212.93
,,,,9513.9,202.12,245.63,213.69
,,,,9653.9,202.73,246.6,214.41
,,,,9793.9,203.35,247.57,215.13
,,,,9943.9,204.02,248.61,215.9
,,,,10084.0,204.66,249.58,216.63
,,,,10234.0,205.34,250.62,217.42
,,,,10374.0,205.98,251.59,218.15
,,,,10514.0,206.63,252.56,218.89
,,,,10664.0,207.34,253.6,219.69
,,,,10804.0,208.0,254.57,220.44
,,,,10954.0,208.71,255.6,221.24
,,,,11094.0,209.38,256.57,222.0
,,,,11234.0,210.05,257.54,222.76
,,,,11384.0,210.78,258.58,223.58
,,,,11524.0,211.47,259.55,224.34
,,,,11674.0,212.21,260.59,225.17
,,,,11814.0,212.91,261.56,225.94
,,,,11954.0,213.61,262.53,226.72
,,,,12104.0,214.36,263.57,227.55
,,,,12244.0,215.07,264.54,228.34
,,,,12394.0,215.83,265.58,229.18
,,,,12534.0,216.55,266.55,229.97
,,,,12674.0,217.28,267.52,230.76
,,,,12824.0,218.05,268.56,231.62
,,,,12964.0,218.78,269.53,232.41
,,,,13114.0,219.56,270.58,233.26
,,,,13254.0,220.27,271.55,234.03
,,,,13394.0,220.98,272.52,234.8
,,,,13544.0,221.75,273.56,235.64
,,,,13684.0,222.47,274.53,236.42
,,,,13834.0,223.24,275.57,237.27
,,,,13974.0,223.97,276.54,238.06
,,,,14114.0,224.7,277.51,238.85
,,,,14264.0,225.48,278.55,239.71
,,,,14400.0,226.2,279.49,240.48
