Start_Time,Start_Temp,End_Time,End_Temp,Time (s),T_min (C),T_max (C),T_ave (C)
0.0,100.0,14400.0,200.0,153.71,100.0,101.03,100.1
,,,,293.71,100.0,101.99,100.25
,,,,433.71,100.0,102.94,100.43
,,,,583.71,100.0,103.97,100.65
,,,,723.71,100.01,104.93,100.88
,,,,873.71,100.03,105.97,101.15
,,,,1013.7,100.06,106.93,101.42
,,,,1153.7,100.1,107.89,101.71
,,,,1303.7,100.16,108.92,102.03
,,,,1443.7,100.23,109.89,102.35
,,,,1593.7,100.33,110.92,102.7
,,,,1733.7,100.43,111.88,103.05
,,,,1873.7,100.55,112.85,103.41
,,,,2023.7,100.7,113.88,103.8
,,,,2163.7,100.85,114.85,104.19
,,,,2313.7,101.03,115.88,104.61
,,,,2453.7,101.21,116.84,105.02
,,,,2593.7,101.41,117.81,105.43
,,,,2743.7,101.64,118.84,105.89
,,,,2883.7,101.88,119.81,106.33
,,,,3033.7,102.14,120.84,106.82
,,,,3173.7,102.4,121.81,107.28
,,,,3313.7,102.67,122.77,107.75
,,,,3463.7,102.98,123.81,108.27
,,,,3603.7,103.28,124.77,108.76
,,,,3753.7,103.62,125.81,109.29
,,,,3893.7,103.95,126.78,109.81
,,,,4033.7,104.29,127.74,110.33
,,,,4183.7,104.67,128.78,110.89
,,,,4323.7,105.03,129.74,111.43
,,,,4473.7,105.44,130.78,112.02
,,,,4613.7,105.83,131.75,112.57
,,,,4753.7,106.23,132.71,113.13
,,,,4903.7,106.67,133.75,113.75
,,,,5043.7,107.1,134.72,114.33
,,,,5193.7,107.57,135.75,114.96
,,,,5333.7,108.01,136.72,115.55
,,,,5473.7,108.47,137.69,116.16
,,,,5623.7,108.97,138.73,116.81
,,,,5763.7,109.45,139.69,117.43
,,,,5913.7,109.97,140.73,118.1
,,,,6053.7,110.47,141.7,118.73
,,,,6193.7,110.97,142.67,119.37
,,,,6343.7,111.53,143.7,120.06
,,,,6483.7,112.05,144.67,120.71
,,,,6633.7,112.62,145.71,121.4
,,,,6773.7,113.15,146.68,122.04
,,,,6913.7,113.69,147.65,122.68
,,,,7063.7,114.27,148.69,123.39
,,,,7203.7,114.83,149.65,124.05
,,,,7353.7,115.42,150.69,124.77
,,,,7493.7,115.99,151.66,125.45
,,,,7633.7,116.56,152.63,126.13
,,,,7783.7,117.19,153.67,126.87
,,,,7923.7,117.78,154.64,127.57
,,,,8073.7,118.41,155.67,128.32
,,,,8213.7,119.02,156.64,129.02
,,,,8353.7,119.62,157.61,129.73
,,,,8503.7,120.28,158.65,130.5
,,,,8643.7,120.91,159.62,131.22
,,,,8793.7,121.58,160.66,132.0
,,,,8933.7,122.22,161.63,132.73
,,,,9073.7,122.86,162.6,133.47
,,,,9223.7,123.56,163.63,134.26
,,,,9363.7,124.21,164.6,135.0
,,,,9513.7,124.92,165.64,135.81
,,,,9653.7,125.59,166.61,136.56
,,,,9793.7,126.26,167.58,137.32
,,,,9943.7,126.99,168.62,138.13
,,,,10084.0,127.68,169.59,138.9
,,,,10234.0,128.42,170.63,139.73
,,,,10374.0,129.11,171.6,140.5
,,,,10514.0,129.81,172.57,141.28
,,,,10664.0,130.57,173.61,142.12
,,,,10804.0,131.28,174.58,142.9
,,,,10954.0,132.05,175.62,143.75
,,,,11094.0,132.77,176.59,144.54
,,,,11234.0,133.5,177.56,145.33
,,,,11384.0,134.29,178.59,146.19
,,,,11524.0,135.02,179.56,146.99
,,,,11674.0,135.82,180.6,147.86
,,,,11814.0,136.56,181.57,148.67
,,,,11954.0,137.31,182.54,149.48
,,,,12104.0,138.12,183.58,150.35
,,,,12244.0,138.88,184.55,151.17
,,,,12394.0,139.69,185.59,152.05
,,,,12534.0,140.46,186.56,152.88
,,,,12674.0,141.23,187.53,153.7
,,,,12824.0,142.06,188.57,154.59
,,,,12964.0,142.84,189.54,155.43
,,,,13114.0,143.66,190.6,156.3
,,,,13254.0,144.41,191.57,157.09
,,,,13394.0,145.15,192.54,157.89
,,,,13544.0,145.95,193.57,158.75
,,,,13684.0,146.71,194.54,159.56
,,,,13834.0,147.51,195.58,160.42
,,,,13974.0,148.27,196.55,161.24
,,,,14114.0,149.03,197.52,162.05
,,,,14264.0,149.85,198.56,162.93
,,,,14400.0,150.59,199.51,163.73
