Start_Time,Start_Temp,End_Time,End_Temp,Time (s),T_min (C),T_max (C),T_ave (C)
0.0,100.0,14400.0,250.0,153.97,100.0,101.54,100.15
,,,,293.97,100.0,102.98,100.37
,,,,433.97,100.0,104.42,100.64
,,,,583.97,100.01,105.96,100.98
,,,,723.97,100.02,107.4,101.33
,,,,873.97,100.05,108.95,101.73
,,,,1014.0,100.09,110.39,102.14
,,,,1154.0,100.15,111.84,102.56
,,,,1304.0,100.24,113.38,103.05
,,,,1444.0,100.35,114.83,103.53
,,,,1594.0,100.49,116.38,104.06
,,,,1734.0,100.65,117.82,104.57
,,,,1874.0,100.83,119.27,105.11
,,,,2024.0,101.05,120.82,105.71
,,,,2164.0,101.28,122.27,106.28
,,,,2314.0,101.55,123.82,106.91
,,,,2454.0,101.82,125.27,107.52
,,,,2594.0,102.12,126.71,108.15
,,,,2744.0,102.47,128.26,108.84
,,,,2884.0,102.81,129.71,109.5
,,,,3034.0,103.21,131.26,110.23
,,,,3174.0,103.6,132.71,110.92
,,,,3314.0,104.01,134.16,111.63
,,,,3464.0,104.47,135.71,112.4
,,,,3604.0,104.92,137.16,113.14
,,,,3754.0,105.43,138.72,113.94
,,,,3894.0,105.92,140.16,114.71
,,,,4034.0,106.43,141.61,115.49
,,,,4184.0,107.0,143.17,116.34
,,,,4324.0,107.55,144.62,117.15
,,,,4474.0,108.15,146.18,118.0
,,,,4614.0,108.73,147.63,118.8
,,,,4754.0,109.32,149.08,119.63
,,,,4904.0,109.98,150.63,120.52
,,,,5044.0,110.6,152.08,121.37
,,,,5194.0,111.28,153.64,122.3
,,,,5334.0,111.93,155.09,123.17
,,,,5474.0,112.6,156.54,124.06
,,,,5624.0,113.33,158.09,125.02
,,,,5764.0,114.03,159.54,125.93
,,,,5914.0,114.79,161.1,126.92
,,,,6054.0,115.52,162.55,127.85
,,,,6194.0,116.26,164.0,128.79
,,,,6344.0,117.07,165.56,129.81
,,,,6484.0,117.83,167.01,130.77
,,,,6634.0,118.67,168.56,131.81
,,,,6774.0,119.47,170.02,132.8
,,,,6914.0,120.27,171.47,133.79
,,,,7064.0,121.15,173.03,134.86
,,,,7204.0,121.98,174.48,135.87
,,,,7354.0,122.89,176.03,136.96
,,,,7494.0,123.75,177.49,137.98
,,,,7634.0,124.61,178.94,139.02
,,,,7784.0,125.56,180.5,140.13
,,,,7924.0,126.45,181.95,141.19
,,,,8074.0,127.42,183.51,142.32
,,,,8214.0,128.33,184.96,143.39
,,,,8354.0,129.25,186.41,144.46
,,,,8504.0,130.26,187.97,145.62
,,,,8644.0,131.2,189.43,146.71
,,,,8794.0,132.2,191.0,147.85
,,,,8934.0,133.12,192.45,148.89
,,,,9074.0,134.05,193.9,149.95
,,,,9224.0,135.06,195.46,151.1
,,,,9364.0,136.0,196.91,152.18
,,,,9514.0,137.02,198.47,153.34
,,,,9654.0,137.98,199.92,154.44
,,,,9794.0,138.95,201.38,155.54
,,,,9944.0,140.0,202.93,156.73
,,,,10084.0,140.98,204.39,157.84
,,,,10234.0,142.05,205.95,159.05
,,,,10374.0,143.05,207.4,160.17
,,,,10514.0,144.06,208.86,161.31
,,,,10664.0,145.15,210.41,162.53
,,,,10804.0,146.18,211.87,163.68
,,,,10954.0,147.28,213.43,164.91
,,,,11094.0,148.33,214.88,166.07
,,,,11234.0,149.37,216.34,167.24
,,,,11384.0,150.51,217.89,168.49
,,,,11524.0,151.57,219.35,169.66
,,,,11674.0,152.72,220.91,170.93
,,,,11814.0,153.8,222.36,172.11
,,,,11954.0,154.89,223.82,173.3
,,,,12104.0,156.06,225.38,174.59
,,,,12244.0,157.16,226.83,175.79
,,,,12394.0,158.34,228.39,177.08
,,,,12534.0,159.46,229.85,178.29
,,,,12674.0,160.57,231.3,179.5
,,,,12824.0,161.78,232.86,180.81
,,,,12964.0,162.91,234.32,182.03
,,,,13114.0,164.1,235.9,183.31
,,,,13254.0,165.19,237.35,184.48
,,,,13394.0,166.27,238.8,185.65
,,,,13544.0,167.44,240.36,186.91
,,,,13684.0,168.53,241.82,188.09
,,,,13834.0,169.71,243.38,189.37
,,,,13974.0,170.81,244.83,190.57
,,,,14114.0,171.92,246.29,191.77
,,,,14264.0,173.11,247.84,193.06
,,,,14400.0,174.2,249.26,194.24
