Start_Time,Start_Temp,End_Time,End_Temp,Time (s),T_min (C),T_max (C),T_ave (C)
0.0,150.0,14400.0,300.0,153.93,150.0,151.54,150.14
,,,,293.93,150.0,152.98,150.36
,,,,433.93,150.0,154.42,150.62
,,,,583.93,150.0,155.96,150.94
,,,,723.93,150.01,157.4,151.28
,,,,873.93,150.04,158.95,151.67
,,,,1013.9,150.07,160.39,152.06
,,,,1153.9,150.12,161.84,152.48
,,,,1303.9,150.19,163.39,152.94
,,,,1443.9,150.28,164.83,153.4
,,,,1593.9,150.4,166.38,153.92
,,,,1733.9,150.54,167.83,154.41
,,,,1873.9,150.69,169.27,154.93
,,,,2023.9,150.88,170.82,155.5
,,,,2163.9,151.08,172.27,156.06
,,,,2313.9,151.32,173.82,156.67
,,,,2453.9,151.56,175.27,157.25
,,,,2593.9,151.83,176.71,157.86
,,,,2743.9,152.14,178.27,158.52
,,,,2883.9,152.45,179.71,159.15
,,,,3033.9,152.8,181.27,159.85
,,,,3173.9,153.15,182.71,160.51
,,,,3313.9,153.52,184.16,161.19
,,,,3463.9,153.94,185.71,161.93
,,,,3603.9,154.35,187.16,162.64
,,,,3753.9,154.81,188.72,163.42
,,,,3893.9,155.26,190.17,164.15
,,,,4033.9,155.73,191.61,164.9
,,,,4183.9,156.25,193.17,165.72
,,,,4323.9,156.76,194.62,166.49
,,,,4473.9,157.31,196.18,167.31
,,,,4613.9,157.84,197.63,168.08
,,,,4753.9,158.39,199.08,168.87
,,,,4903.9,158.99,200.63,169.73
,,,,5043.9,159.56,202.08,170.54
,,,,5193.9,160.2,203.63,171.43
,,,,5333.9,160.8,205.09,172.27
,,,,5473.9,161.42,206.54,173.12
,,,,5623.9,162.1,208.09,174.04
,,,,5763.9,162.74,209.54,174.92
,,,,5913.9,163.45,211.1,175.86
,,,,6053.9,164.13,212.55,176.76
,,,,6193.9,164.82,214.0,177.66
,,,,6343.9,165.57,215.55,178.64
,,,,6483.9,166.29,217.01,179.57
,,,,6633.9,167.07,218.56,180.57
,,,,6773.9,167.81,220.01,181.51
,,,,6913.9,168.56,221.47,182.47
,,,,7063.9,169.39,223.02,183.5
,,,,7203.9,170.17,224.47,184.47
,,,,7353.9,171.02,226.03,185.52
,,,,7493.9,171.82,227.48,186.51
,,,,7633.9,172.64,228.94,187.5
,,,,7783.9,173.52,230.49,188.58
,,,,7923.9,174.36,231.95,189.59
,,,,8073.9,175.27,233.5,190.69
,,,,8213.9,176.13,234.96,191.72
,,,,8353.9,177.01,236.41,192.75
,,,,8503.9,177.95,237.97,193.87
,,,,8643.9,178.84,239.42,194.92
,,,,8793.9,179.79,240.99,196.02
,,,,8933.9,180.67,242.44,197.04
,,,,9073.9,181.55,243.9,198.06
,,,,9223.9,182.5,245.45,199.18
,,,,9363.9,183.4,246.91,200.22
,,,,9513.9,184.38,248.46,201.35
,,,,9653.9,185.29,249.92,202.41
,,,,9793.9,186.21,251.37,203.48
,,,,9943.9,187.21,252.93,204.63
,,,,10084.0,188.15,254.38,205.71
,,,,10234.0,189.17,255.94,206.88
,,,,10374.0,190.12,257.39,207.97
,,,,10514.0,191.09,258.85,209.08
,,,,10664.0,192.13,260.4,210.26
,,,,10804.0,193.11,261.86,211.38
,,,,10954.0,194.17,263.42,212.58
,,,,11094.0,195.17,264.87,213.7
,,,,11234.0,196.17,266.33,214.83
,,,,11384.0,197.26,267.88,216.05
,,,,11524.0,198.27,269.34,217.2
,,,,11674.0,199.38,270.9,218.43
,,,,11814.0,200.41,272.35,219.58
,,,,11954.0,201.45,273.81,220.74
,,,,12104.0,202.58,275.37,221.98
,,,,12244.0,203.63,276.82,223.15
,,,,12394.0,204.77,278.38,224.41
,,,,12534.0,205.84,279.83,225.59
,,,,12674.0,206.92,281.29,226.77
,,,,12824.0,208.08,282.85,228.05
,,,,12964.0,209.17,284.3,229.24
,,,,13114.0,210.32,285.88,230.5
,,,,13254.0,211.37,287.34,231.64
,,,,13394.0,212.42,288.79,232.79
,,,,13544.0,213.56,290.35,234.04
,,,,13684.0,214.63,291.8,235.2
,,,,13834.0,215.77,293.36,236.46
,,,,13974.0,216.85,294.82,237.64
,,,,14114.0,217.93,296.27,238.82
,,,,14264.0,219.09,297.83,240.09
,,,,14400.0,220.15,299.25,241.25
