Start_Time,Start_Temp,End_Time,End_Temp,Time (s),T_min (C),T_max (C),T_ave (C)
0.0,250.0,14400.0,350.0,153.94,250.0,251.03,250.09
,,,,293.94,250.0,251.99,250.22
,,,,433.94,250.0,252.95,250.39
,,,,583.94,250.0,253.97,250.59
,,,,723.94,250.0,254.94,250.8
,,,,873.94,250.01,255.97,251.05
,,,,1013.9,250.03,256.93,251.29
,,,,1153.9,250.05,257.89,251.55
,,,,1303.9,250.08,258.93,251.85
,,,,1443.9,250.13,259.89,252.14
,,,,1593.9,250.18,260.92,252.46
,,,,1733.9,250.25,261.89,252.77
,,,,1873.9,250.33,262.85,253.09
,,,,2023.9,250.42,263.89,253.45
,,,,2163.9,250.53,264.85,253.79
,,,,2313.9,250.65,265.88,254.17
,,,,2453.9,250.78,266.85,254.54
,,,,2593.9,250.92,267.81,254.91
,,,,2743.9,251.09,268.85,255.33
,,,,2883.9,251.26,269.81,255.72
,,,,3033.9,251.45,270.85,256.15
,,,,3173.9,251.64,271.81,256.57
,,,,3313.9,251.85,272.78,256.99
,,,,3463.9,252.08,273.81,257.45
,,,,3603.9,252.31,274.78,257.89
,,,,3753.9,252.57,275.82,258.37
,,,,3893.9,252.82,276.78,258.83
,,,,4033.9,253.08,277.75,259.29
,,,,4183.9,253.38,278.78,259.8
,,,,4323.9,253.67,279.75,260.28
,,,,4473.9,253.99,280.79,260.8
,,,,4613.9,254.29,281.75,261.3
,,,,4753.9,254.61,282.72,261.8
,,,,4903.9,254.97,283.76,262.35
,,,,5043.9,255.3,284.72,262.87
,,,,5193.9,255.68,285.76,263.44
,,,,5333.9,256.04,286.73,263.97
,,,,5473.9,256.41,287.69,264.51
,,,,5623.9,256.81,288.73,265.1
,,,,5763.9,257.2,289.7,265.65
,,,,5913.9,257.63,290.73,266.25
,,,,6053.9,258.04,291.7,266.82
,,,,6193.9,258.45,292.67,267.39
,,,,6343.9,258.91,293.7,268.01
,,,,6483.9,259.34,294.67,268.6
,,,,6633.9,259.81,295.72,269.22
,,,,6773.9,260.26,296.68,269.8
,,,,6913.9,260.71,297.65,270.38
,,,,7063.9,261.2,298.69,271.02
,,,,7203.9,261.67,299.66,271.62
,,,,7353.9,262.17,300.69,272.27
,,,,7493.9,262.65,301.66,272.89
,,,,7633.9,263.14,302.63,273.51
,,,,7783.9,263.67,303.67,274.18
,,,,7923.9,264.17,304.64,274.81
,,,,8073.9,264.71,305.67,275.49
,,,,8213.9,265.23,306.64,276.14
,,,,8353.9,265.75,307.61,276.78
,,,,8503.9,266.31,308.65,277.48
,,,,8643.9,266.85,309.62,278.14
,,,,8793.9,267.43,310.65,278.85
,,,,8933.9,267.98,311.62,279.52
,,,,9073.9,268.53,312.59,280.19
,,,,9223.9,269.13,313.63,280.92
,,,,9363.9,269.7,314.6,281.6
,,,,9513.9,270.32,315.64,282.33
,,,,9653.9,270.9,316.61,283.02
,,,,9793.9,271.48,317.57,283.72
,,,,9943.9,272.12,318.61,284.47
,,,,10084.0,272.72,319.58,285.17
,,,,10234.0,273.36,320.62,285.93
,,,,10374.0,273.97,321.59,286.64
,,,,10514.0,274.59,322.56,287.36
,,,,10664.0,275.25,323.6,288.13
,,,,10804.0,275.88,324.57,288.85
,,,,10954.0,276.56,325.61,289.63
,,,,11094.0,277.19,326.58,290.36
,,,,11234.0,277.84,327.54,291.1
,,,,11384.0,278.53,328.58,291.89
,,,,11524.0,279.18,329.55,292.63
,,,,11674.0,279.89,330.59,293.43
,,,,11814.0,280.55,331.56,294.18
,,,,11954.0,281.22,332.53,294.94
,,,,12104.0,281.94,333.57,295.75
,,,,12244.0,282.61,334.54,296.51
,,,,12394.0,283.34,335.58,297.32
,,,,12534.0,284.03,336.55,298.09
,,,,12674.0,284.72,337.52,298.86
,,,,12824.0,285.46,338.56,299.69
,,,,12964.0,286.16,339.53,300.46
,,,,13114.0,286.91,340.58,301.29
,,,,13254.0,287.59,341.55,302.03
,,,,13394.0,288.28,342.52,302.79
,,,,13544.0,289.02,343.56,303.6
,,,,13684.0,289.71,344.53,304.36
,,,,13834.0,290.45,345.57,305.19
,,,,13974.0,291.15,346.54,305.96
,,,,14114.0,291.86,347.51,306.73
,,,,14264.0,292.61,348.55,307.56
,,,,14400.0,293.3,349.49,308.32
