Start_Time,Start_Temp,End_Time,End_Temp,Time (s),T_min (C),T_max (C),T_ave (C)
0.0,140.0,14400.0,240.0,153.94,140.0,141.03,140.1
,,,,293.94,140.0,141.99,140.24
,,,,433.94,140.0,142.94,140.42
,,,,583.94,140.0,143.97,140.63
,,,,723.94,140.01,144.93,140.86
,,,,873.94,140.03,145.97,141.12
,,,,1013.9,140.05,146.93,141.38
,,,,1153.9,140.08,147.89,141.66
,,,,1303.9,140.14,148.92,141.98
,,,,1443.9,140.2,149.89,142.29
,,,,1593.9,140.28,150.92,142.63
,,,,1733.9,140.37,151.88,142.96
,,,,1873.9,140.48,152.85,143.31
,,,,2023.9,140.61,153.88,143.7
,,,,2163.9,140.75,154.85,144.07
,,,,2313.9,140.91,155.88,144.48
,,,,2453.9,141.08,156.84,144.87
,,,,2593.9,141.26,157.81,145.28
,,,,2743.9,141.47,158.84,145.72
,,,,2883.9,141.68,159.81,146.15
,,,,3033.9,141.92,160.84,146.62
,,,,3173.9,142.16,161.81,147.06
,,,,3313.9,142.41,162.77,147.52
,,,,3463.9,142.7,163.81,148.02
,,,,3603.9,142.98,164.78,148.49
,,,,3753.9,143.29,165.81,149.01
,,,,3893.9,143.6,166.78,149.51
,,,,4033.9,143.92,167.74,150.01
,,,,4183.9,144.27,168.78,150.56
,,,,4323.9,144.61,169.74,151.08
,,,,4473.9,144.99,170.78,151.65
,,,,4613.9,145.36,171.75,152.19
,,,,4753.9,145.73,172.71,152.73
,,,,4903.9,146.15,173.75,153.33
,,,,5043.9,146.55,174.72,153.89
,,,,5193.9,146.99,175.75,154.5
,,,,5333.9,147.41,176.72,155.08
,,,,5473.9,147.84,177.69,155.66
,,,,5623.9,148.31,178.72,156.29
,,,,5763.9,148.76,179.69,156.89
,,,,5913.9,149.26,180.73,157.54
,,,,6053.9,149.73,181.7,158.15
,,,,6193.9,150.21,182.66,158.77
,,,,6343.9,150.73,183.7,159.44
,,,,6483.9,151.23,184.67,160.08
,,,,6633.9,151.77,185.71,160.74
,,,,6773.9,152.27,186.68,161.36
,,,,6913.9,152.78,187.65,161.99
,,,,7063.9,153.34,188.69,162.67
,,,,7203.9,153.86,189.65,163.32
,,,,7353.9,154.43,190.69,164.01
,,,,7493.9,154.97,191.66,164.67
,,,,7633.9,155.52,192.63,165.33
,,,,7783.9,156.11,193.66,166.05
,,,,7923.9,156.67,194.63,166.73
,,,,8073.9,157.28,195.67,167.46
,,,,8213.9,157.86,196.64,168.14
,,,,8353.9,158.44,197.61,168.83
,,,,8503.9,159.07,198.65,169.58
,,,,8643.9,159.66,199.62,170.28
,,,,8793.9,160.31,200.65,171.04
,,,,8933.9,160.92,201.62,171.75
,,,,9073.9,161.53,202.59,172.46
,,,,9223.9,162.2,203.63,173.24
,,,,9363.9,162.83,204.6,173.96
,,,,9513.9,163.51,205.64,174.74
,,,,9653.9,164.15,206.61,175.48
,,,,9793.9,164.8,207.58,176.21
,,,,9943.9,165.5,208.61,177.01
,,,,10084.0,166.15,209.58,177.76
,,,,10234.0,166.87,210.62,178.56
,,,,10374.0,167.54,211.59,179.32
,,,,10514.0,168.21,212.56,180.08
,,,,10664.0,168.94,213.6,180.89
,,,,10804.0,169.63,214.57,181.66
,,,,10954.0,170.37,215.61,182.48
,,,,11094.0,171.06,216.58,183.26
,,,,11234.0,171.76,217.55,184.04
,,,,11384.0,172.52,218.59,184.87
,,,,11524.0,173.23,219.56,185.66
,,,,11674.0,174.0,220.6,186.5
,,,,11814.0,174.72,221.57,187.29
,,,,11954.0,175.44,222.54,188.09
,,,,12104.0,176.22,223.58,188.94
,,,,12244.0,176.96,224.55,189.74
,,,,12394.0,177.75,225.59,190.61
,,,,12534.0,178.49,226.56,191.41
,,,,12674.0,179.24,227.53,192.22
,,,,12824.0,180.04,228.57,193.09
,,,,12964.0,180.8,229.54,193.91
,,,,13114.0,181.6,230.59,194.77
,,,,13254.0,182.32,231.56,195.55
,,,,13394.0,183.05,232.53,196.33
,,,,13544.0,183.83,233.57,197.17
,,,,13684.0,184.56,234.54,197.96
,,,,13834.0,185.35,235.58,198.82
,,,,13974.0,186.08,236.55,199.61
,,,,14114.0,186.82,237.52,200.42
,,,,14264.0,187.62,238.56,201.28
,,,,14400.0,188.35,239.5,202.07
