Start_Time,Start_Temp,End_Time,End_Temp,Time (s),T_min (C),T_max (C),T_ave (C)
0.0,100.0,14400.0,150.0,153.97,100.0,100.51,100.05
,,,,293.97,100.0,100.99,100.12
,,,,433.97,100.0,101.47,100.21
,,,,583.97,100.0,101.99,100.33
,,,,723.97,100.01,102.47,100.44
,,,,873.97,100.02,102.98,100.58
,,,,1014.0,100.03,103.46,100.71
,,,,1154.0,100.05,103.95,100.85
,,,,1304.0,100.08,104.46,101.02
,,,,1444.0,100.12,104.94,101.18
,,,,1594.0,100.16,105.46,101.35
,,,,1734.0,100.22,105.94,101.52
,,,,1874.0,100.28,106.42,101.7
,,,,2024.0,100.35,106.94,101.9
,,,,2164.0,100.43,107.42,102.09
,,,,2314.0,100.52,107.94,102.3
,,,,2454.0,100.61,108.42,102.51
,,,,2594.0,100.71,108.9,102.72
,,,,2744.0,100.82,109.42,102.95
,,,,2884.0,100.94,109.9,103.17
,,,,3034.0,101.07,110.42,103.41
,,,,3174.0,101.2,110.9,103.64
,,,,3314.0,101.34,111.39,103.88
,,,,3464.0,101.49,111.9,104.13
,,,,3604.0,101.64,112.39,104.38
,,,,3754.0,101.81,112.91,104.65
,,,,3894.0,101.97,113.39,104.9
,,,,4034.0,102.14,113.87,105.16
,,,,4184.0,102.33,114.39,105.45
,,,,4324.0,102.52,114.87,105.72
,,,,4474.0,102.72,115.39,106.01
,,,,4614.0,102.91,115.87,106.29
,,,,4754.0,103.12,116.36,106.57
,,,,4904.0,103.34,116.88,106.87
,,,,5044.0,103.55,117.36,107.16
,,,,5194.0,103.78,117.88,107.48
,,,,5334.0,104.01,118.36,107.78
,,,,5474.0,104.23,118.84,108.08
,,,,5624.0,104.49,119.36,108.4
,,,,5764.0,104.72,119.85,108.71
,,,,5914.0,104.99,120.36,109.05
,,,,6054.0,105.23,120.85,109.36
,,,,6194.0,105.49,121.33,109.68
,,,,6344.0,105.76,121.85,110.03
,,,,6484.0,106.03,122.34,110.36
,,,,6634.0,106.31,122.85,110.71
,,,,6774.0,106.58,123.34,111.04
,,,,6914.0,106.86,123.82,111.38
,,,,7064.0,107.16,124.34,111.74
,,,,7204.0,107.44,124.83,112.08
,,,,7354.0,107.75,125.34,112.45
,,,,7494.0,108.05,125.83,112.8
,,,,7634.0,108.34,126.31,113.15
,,,,7784.0,108.66,126.83,113.52
,,,,7924.0,108.97,127.32,113.88
,,,,8074.0,109.3,127.84,114.26
,,,,8214.0,109.61,128.32,114.62
,,,,8354.0,109.92,128.8,114.99
,,,,8504.0,110.26,129.32,115.38
,,,,8644.0,110.58,129.81,115.75
,,,,8794.0,110.93,130.33,116.14
,,,,8934.0,111.26,130.81,116.52
,,,,9074.0,111.59,131.3,116.89
,,,,9224.0,111.95,131.82,117.3
,,,,9364.0,112.29,132.3,117.67
,,,,9514.0,112.65,132.82,118.08
,,,,9654.0,112.99,133.3,118.47
,,,,9794.0,113.34,133.79,118.85
,,,,9944.0,113.71,134.31,119.27
,,,,10084.0,114.06,134.79,119.66
,,,,10234.0,114.44,135.31,120.08
,,,,10374.0,114.8,135.8,120.47
,,,,10514.0,115.16,136.28,120.87
,,,,10664.0,115.55,136.8,121.29
,,,,10804.0,115.91,137.29,121.69
,,,,10954.0,116.31,137.81,122.12
,,,,11094.0,116.68,138.29,122.52
,,,,11234.0,117.05,138.78,122.93
,,,,11384.0,117.45,139.3,123.36
,,,,11524.0,117.82,139.78,123.77
,,,,11674.0,118.23,140.3,124.21
,,,,11814.0,118.61,140.79,124.62
,,,,11954.0,118.99,141.27,125.03
,,,,12104.0,119.41,141.79,125.47
,,,,12244.0,119.79,142.28,125.89
,,,,12394.0,120.21,142.8,126.33
,,,,12534.0,120.6,143.28,126.75
,,,,12674.0,120.99,143.77,127.17
,,,,12824.0,121.42,144.29,127.62
,,,,12964.0,121.81,144.77,128.04
,,,,13114.0,122.23,145.3,128.49
,,,,13254.0,122.62,145.78,128.89
,,,,13394.0,123.01,146.27,129.3
,,,,13544.0,123.42,146.79,129.74
,,,,13684.0,123.81,147.27,130.15
,,,,13834.0,124.23,147.79,130.6
,,,,13974.0,124.62,148.28,131.01
,,,,14114.0,125.01,148.76,131.43
,,,,14264.0,125.43,149.28,131.88
,,,,14400.0,125.82,149.75,132.28
