Start_Time,Start_Temp,End_Time,End_Temp,Time (s),T_min (C),T_max (C),T_ave (C)
0.0,100.0,14400.0,300.0,153.97,100.0,102.06,100.2
,,,,293.97,100.0,103.97,100.49
,,,,433.97,100.0,105.89,100.86
,,,,583.97,100.01,107.95,101.3
,,,,723.97,100.03,109.87,101.77
,,,,873.97,100.06,111.93,102.31
,,,,1014.0,100.12,113.86,102.85
,,,,1154.0,100.21,115.78,103.42
,,,,1304.0,100.33,117.85,104.07
,,,,1444.0,100.47,119.77,104.7
,,,,1594.0,100.66,121.84,105.41
,,,,1734.0,100.86,123.77,106.1
,,,,1874.0,101.1,125.69,106.81
,,,,2024.0,101.4,127.76,107.61
,,,,2164.0,101.7,129.69,108.37
,,,,2314.0,102.06,131.76,109.22
,,,,2454.0,102.43,133.69,110.03
,,,,2594.0,102.83,135.62,110.87
,,,,2744.0,103.29,137.69,111.79
,,,,2884.0,103.75,139.62,112.67
,,,,3034.0,104.28,141.69,113.63
,,,,3174.0,104.8,143.62,114.56
,,,,3314.0,105.34,145.56,115.49
,,,,3464.0,105.95,147.62,116.49
,,,,3604.0,106.55,149.56,117.44
,,,,3754.0,107.22,151.63,118.49
,,,,3894.0,107.86,153.56,119.49
,,,,4034.0,108.53,155.49,120.51
,,,,4184.0,109.27,157.56,121.63
,,,,4324.0,109.99,159.49,122.69
,,,,4474.0,110.78,161.57,123.84
,,,,4614.0,111.54,163.5,124.93
,,,,4754.0,112.32,165.43,126.04
,,,,4904.0,113.19,167.5,127.25
,,,,5044.0,114.02,169.44,128.39
,,,,5194.0,114.93,171.51,129.63
,,,,5334.0,115.8,173.45,130.8
,,,,5474.0,116.7,175.38,131.99
,,,,5624.0,117.68,177.45,133.28
,,,,5764.0,118.61,179.39,134.5
,,,,5914.0,119.63,181.46,135.82
,,,,6054.0,120.61,183.4,137.07
,,,,6194.0,121.6,185.33,138.33
,,,,6344.0,122.68,187.41,139.69
,,,,6484.0,123.71,189.34,140.98
,,,,6634.0,124.81,191.43,142.32
,,,,6774.0,125.83,193.37,143.57
,,,,6914.0,126.87,195.3,144.85
,,,,7064.0,128.0,197.38,146.22
,,,,7204.0,129.07,199.31,147.53
,,,,7354.0,130.23,201.39,148.93
,,,,7494.0,131.33,203.33,150.26
,,,,7634.0,132.44,205.26,151.6
,,,,7784.0,133.65,207.34,153.05
,,,,7924.0,134.79,209.27,154.41
,,,,8074.0,136.03,211.35,155.89
,,,,8214.0,137.2,213.29,157.27
,,,,8354.0,138.38,215.23,158.67
,,,,8504.0,139.67,217.3,160.17
,,,,8644.0,140.88,219.24,161.59
,,,,8794.0,142.19,221.32,163.12
,,,,8934.0,143.43,223.25,164.55
,,,,9074.0,144.68,225.19,166.0
,,,,9224.0,146.04,227.27,167.56
,,,,9364.0,147.31,229.21,169.02
,,,,9514.0,148.7,231.28,170.6
,,,,9654.0,150.0,233.22,172.08
,,,,9794.0,151.31,235.18,173.57
,,,,9944.0,152.66,237.26,175.09
,,,,10084.0,153.94,239.2,176.52
,,,,10234.0,155.31,241.27,178.07
,,,,10374.0,156.6,243.21,179.52
,,,,10514.0,157.9,245.15,180.99
,,,,10664.0,159.3,247.23,182.57
,,,,10804.0,160.62,249.16,184.06
,,,,10954.0,162.04,251.24,185.66
,,,,11094.0,163.38,253.18,187.16
,,,,11234.0,164.72,255.12,188.67
,,,,11384.0,166.18,257.2,190.3
,,,,11524.0,167.55,259.14,191.83
,,,,11674.0,169.02,261.21,193.47
,,,,11814.0,170.41,263.15,195.02
,,,,11954.0,171.81,265.09,196.56
,,,,12104.0,173.31,267.17,198.23
,,,,12244.0,174.73,269.11,199.79
,,,,12394.0,176.26,271.19,201.48
,,,,12534.0,177.69,273.13,203.05
,,,,12674.0,179.13,275.07,204.64
,,,,12824.0,180.69,277.15,206.34
,,,,12964.0,182.15,279.09,207.94
,,,,13114.0,183.69,281.2,209.61
,,,,13254.0,185.08,283.13,211.13
,,,,13394.0,186.49,285.07,212.66
,,,,13544.0,188.0,287.15,214.31
,,,,13684.0,189.41,289.09,215.87
,,,,13834.0,190.94,291.17,217.54
,,,,13974.0,192.37,293.11,219.1
,,,,14114.0,193.81,295.05,220.68
,,,,14264.0,195.36,297.13,222.37
,,,,14400.0,196.77,299.01,223.91
